,songs,artists,lyrics,length
0,The Battle of New Orleans,Johnny Horton,"1814 took little trip along colonel jackson mighty mississip took little bacon took little bean caught bloody british town near new orleans fired gun british kept a-comin' nigh many ago fired begin runnin' mississippi gulf mexico looked river (hut-two) see'd british come (three-four) must hundred of'em (hut-two) beatin' drum (three-four) stepped high (hut-two) made bugle ring (three-four) stood beside cotton bale (hut-two) say thing (two-three-four) fired gun british kept a-comin' nigh many ago fired begin runnin' mississippi gulf mexico old hickory said could take 'em surprise (one-hut, two-three-four) fire musket (one-hut, two-three-four) 'till looked 'em eye (one-hut, two-three-four) held fire (hut, two-three-four) 'till see face well opened squirrel gun really gave 'em - well fired gun british kept a-comin' nigh many ago fired begin runnin' mississippi gulf mexico yeah, ran briar (one-hup-two) ran bramble (hup-two-three-four) ran bush (hup-two) rabbit go (hup-two-three-four) ran fast (hup-two) hound catch 'em (one-two-three-four) mississippi gulf mexico (one-two, hup-two-three-four) fired cannon 'til barrel melted grabbed alligator fired another round filled head cannon balls, powdered behind touched powder gator lost mind fired gun british kept a-comin' nigh many ago fired begin runnin' mississippi gulf mexico yeah, ran briar (hup-one-two) ran bramble (one-two-three-four) ran bush (hup-two) rabbit go (hup-two-three-four) ran fast (hup-two) hound catch 'em (one-two-three-four) mississippi gulf mexico",2500
1,Mack the Knife,Bobby Darin,"oh shark, babe, teeth, dear show pearly white jackknife old macheath, babe keep outta sight know shark bite teeth, babe scarlet billow start spread fancy gloves, though, wear ol' macheath, babe there's never, never trace red now, side walk, ooh sunday morning, uh huh lie body oozing life, eek someone's sneaking 'round corner could someone mack knife? there's tugboat river, know cement bag's a-drooping oh, cement just, weight, dear five'll get ya ten, ol' mackie's back town ya hear 'bout louie miller? disappeared, babe drawing hard earned cash macheath spends like sailor could boy's done something rash? now, jenny diver, ho ho, suky tawdry ooh, miss lotte lenya ol' lucy brown oh, line form right, babe mackie's back town said, jenny diver, woah, suky tawdry look out, miss lotte lenya ol' lucy brown yes, line form right, babe mackie's back town look ol' mackie back",1189
2,Personality,Lloyd Price,"tried prove love do? friend say i'm fool i'll fool 'cuz got (personality) walk (with personality) talk (with personality) smile (with personality) charm (with personality) love (with personality) plus got great big heart (over over) (over over) oh, i'll (over over) fool (over over) (over over) (over over) do? 'cuz got (personality) walk (with personality) talk (with personality) smile (with personality) charm (with personality) love (with personality) plus got great big heart (over over) (over over) oh, i'll (over over) fool (over over) (over over) (over over) do? oh oh oh, said love honey, truth still say i'm fool i'll fool 'cuz got (personality) walk (with personality) talk (with personality) smile (with personality) charm (with personality) love (with personality) plus got great big heart (over over) (over over) whoa, i'll (over over) fool (over over) (over over) (over over) do?",1435
3,Venus,Frankie Avalon,"hey, venus! oh, venus! venus, please, send little girl thrill girl want kiss arm girl charm venus, make fair lovely girl sunlight hair take brightest star sky place eye venus, goddess love surely, thing ask can't great task venus, promise always true i'll give love give long shall live venus, goddess love surely, thing ask can't great task venus, promise always true i'll give love give long shall live hey, venus! oh, venus! make wish come true",776
4,Lonely Boy,Paul Anka,"i'm lonely boy lonely blue i'm alone nothin' i've got everything could think want someone love someone, yes, someone love someone kiss someone hold moment like i'd like hear somebody say i'll give love night day i'm lonely boy lonely blue i'm alone nothin' i've got everything could think want someone love somebody, somebody, somebody, please send i'll make happy wait see i've prayed hard heaven might find someone love i'm lonely boy lonely blue i'm alone nothin' i've got everything could think",717
5,Dream Lover,Bobby Darin,"every night hope pray dream lover come way girl hold arm know magic charm 'cause want (yeah-yeah, yeah) girl (yeah-yeah, yeah) call (yeah-yeah, yeah) (yeah-yeah, yeah) want dream lover dream alone dream lover, love, oh, true hand hold feel near grow old 'cause want (yeah-yeah, yeah) girl (yeah-yeah, yeah) call (yeah-yeah, yeah) (yeah-yeah, yeah) want dream lover dream alone someday, know hope she'll hear plea way, know she'll bring love dream lover, i'll go sleep dream that's thing till lover's dream come true 'cause want (yeah-yeah, yeah) girl (yeah-yeah, yeah) call (yeah-yeah, yeah) (yeah-yeah, yeah) want dream lover dream alone dream lover, i'll go sleep dream that's thing till lover's dream come true 'cause want (yeah-yeah, yeah) girl (yeah-yeah, yeah) call (yeah-yeah, yeah) (yeah-yeah) want dream lover dream alone please make dream alone beg make dream alone no, wanna dream alone",1323
6,The Three Bells,The Browns,"there's village, hidden deep valley among pine trees, half forlorn there, sunny morning little jimmy brown born chapel bell ringing little valley town song singing baby jimmy brown little congregation prayed guidance ""lead u temptation bless hour meditation guide eternal love."" there's village, hidden deep valley beneath mountain high there, twenty year thereafter jimmy meet love chapel bell ringing 'twas great day life cause song singing jimmy wife little congregation prayed guidance ""lead u temptation bless, lord, celebration may life filled love."" village, hidden deep valley one rainy morning dark gray soul winged way heaven jimmy brown passed away one lonely bell ringing little valley town 'twas farewell singing good old jimmy brown little congregation prayed guidance ""lead u temptation may soul find salvation thy great eternal love.""",1241
7,Come Softly to Me,The Fleetwoods,"doo dooby doo dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo come softly, darling (dum dum, dum doo dum, dooby doo) come softly, darling (dum dum, dum doo dum, dooby doo) come softly, darling (dum dum, dum doo dum, dooby doo) come softly, darling (dum dum, dum doo dum, dooby doo) come softly, darling (dum dum, dum doo dum, dooby doo) come me, stay (dum dum, dum doo dum, dooby doo) obsession (dum dum, dum doo dum, dooby doo) forever day (dum dum, dum doo dum, dooby doo) want, want know, dooby love, love so, dooby please hold, hold tight, dooby through, night, dooby speak softly, darling (dum dum, dum doo dum, dooby doo) hear say (dum dum, dum doo dum, dooby doo) love always (dum dum, dum doo dum, dooby doo) always, always (dum dum, dum doo dum, dooby doo) i've waited, waited long, dooby (ooo ahh) kiss love, dooby please come, come me, dooby up, above, dooby come softly, darling (i want, want know, dooby do) come softly, darling (i love, love so, dooby do) come softly (i need, need much, dooby do) come softly (want feel warm, warm touch, dooby do) dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo dum dum, dum doo dum, dooby doo",1542
8,Kansas City,Wilbert Harrison,"i'm going kansa city, kansa city come i'm going kansa city, kansa city come got crazy little woman there, i'm gonna get one i'm gonna stand corner twelfth street vine i'm gonna stand corner twelfth street vine kansa city baby bottle kansa city wine well, might take train, might take plane could walk i'm going i'm going kansa city, kansa city come got crazy little woman there, i'm gonna get one (ah, know, yeah, mercy!) (aw, yeah!) now, stay woman know i'm gonna die gotta find brand new baby, that's reason going kansa city, kansa city come got crazy little woman there, i'm gonna get one got crazy little woman there, i'm gonna get one got crazy little woman there, i'm gonna get one",938
9,Mr. Blue,The Fleetwoods,"guardian star lost glow day lost lost glitter day said no, silver turned blue like him, doubtful love true decide call me, ask mr. blue i'm mr. blue say love (i'm mr. blue) prove goin' sly provin' love true call mr. blue i'm mr. blue say sorry (i'm mr. blue) turn around, headin' light town hurtin' call mr. blue stay home night (i stay home) right phone night (right phone) call hurt pride call mister tell paint town (i'm mr. blue) bright red turn upside i'm paintin' it, i'm paintin' blue call mr. blue call mr. blue call mr. blue",864
11,Put Your Head on My Shoulder,Paul Anka,"put head shoulder hold arms, baby squeeze me, oh tight show love me, put lip next mine, dear kiss once, baby kiss goodnight, maybe fall love (you fall love) people say love's game game can't win there's way, i'll find someday fool rush put head shoulder whisper ear, baby word want hear tell me, tell love me, (tell love me, too) put head shoulder whisper ear, baby word want hear, baby put head shoulder",643
12,Stagger Lee,Lloyd Price,"night clear moon yellow leaf came tumbling standing corner heard bulldog bark barking two men gambling dark (da, da, da, da, da, da.) stagger lee billy two men gambled late stagger lee threw seven, billy swore threw eight stagger lee told billy, ""i can't let go money brand new stetson hat."" (go, stagger lee.) stagger lee went home got forty-four said, ""i'm going barroom pay debt owe."" (go, stagger lee.) go on, stagger lee! (oooh, wah.) look now! (oooh, wah.) come on, stag, stop playing! oooh, wah, oooh, wah, oooh ahhh stagger lee went barroom stood across barroom door said, ""now nobody move."" pulled forty-four (da, da, da, da, da, da.) ""stagger lee,"" cried billy ""oh, please take life got three little child sickly wife."" (da, da, da, da, da, da.) stagger lee shot billy oh, shot poor boy bad till bullet came billy broke bartender's glass look out, stag, go! (go, stagger lee.) (go, stagger lee. go, stagger lee.) yeah, move that! (go, stagger lee. go, stagger lee.) get there, stag! (go, stagger lee. go, stagger lee.) oh, please stagger! (go, stagger lee. go, stagger lee.) come now, stag! yeah, move that! that...hey! (go, stagger lee. go, stagger lee.) come on, stag!",1488
13,Donna,Ritchie Valens,"oh, donna oh, donna oh, donna oh, donna girl donna name since left i've never 'cause love girl donna, be? be? now, gone i'm left alone wander roam 'cause love girl donna, be? be? well, darlin', gone know i'll time love girl donna name since left i've never 'cause love girl donna, be? be? oh, donna oh, donna oh, donna oh, donna oh",604
14,Pink Shoe Laces,Dodie Stevens,"i've got guy name dooley he's guy love truly he's good lookin', heaven know i'm wild crazy clothes wear tan shoe pink shoelace polka dot vest man, oh, man tan shoe pink shoelace big panama purple hat band ooh-ooh, ooh, ooh ooh-ooh, ooh, ooh take deep-sea fishing submarine got drive-in movie limousine he's got whirly-birdy 12-foot yacht ah, that's-a he's got he's got tan shoe pink shoelace polka dot vest man, oh, man tan shoe pink shoelace big panama purple hat band dooley feelin' goin' war went enlisted fightin' corp landed brig raisin' storm tried put 'em uniform wanted tan shoe pink shoelace polka dot vest man, oh, man wanted tan shoe pink shoelace big panama purple hat band ooh-ooh, ooh, ooh ooh-ooh, ooh, ooh one day dooley started feelin' sick decided better make quick said ""just angel come carry want writin' bury me."" a'wearin tan shoe pink shoelace polka dot vest man, oh, man give tan shoe pink shoelace big panama purple hat band ooh-ooh, ooh, ooh ooh-ooh, ooh, ooh ooh-ooh, ooh, ooh big panama purple hat band!!",1440
15,Smoke Gets in Your Eyes,The Platters,"asked knew true love true course replied, something inside cannot denied (do do, ahh) said day find love blind, ohhh heart's fire, must realize smoke get eye chaffed gaily laughed think could doubt love (ahh) yet today love flown away without love (without love) laughing friend deride tear cannot hide, hide smile say, lovely flame dy (ahh) smoke get eye (smoke get eyes) (smoke get eyes) smoke get eye",624
16,Charlie Brown,The Coasters,"fe-fe, fi-fi, fo-fo, fum smell smoke auditorium charlie brown, charlie brown he's clown, charlie brown he's gonna get caught wait see (why's everybody always pickin' me?) that's knee know that's yellin' 7 come 11 boys' gym charlie brown, charlie brown he's clown, charlie brown he's gonna get caught wait see (why's everybody always pickin' me?) who's always writing wall? who's always goofing hall? who's always throwing spitballs? guess (who, me) yeah, walk classroom, cool slow? call english teacher, daddy-o? charlie brown, charlie brown he's clown, charlie brown he's gonna get caught wait see (why's everybody always pickin' me?) walk classroom, cool slow? call english teacher, daddy-o? charlie brown, charlie brown he's clown, charlie brown he's gonna get caught wait see (why's everybody always pickin' me?)",1019
17,Quiet Village,Martin Denny,"alone quiet village pray returning one day return alone living mem'ry promising always true true there's moon fire telling love desire ever flame quiet village burn darling till day return return me, return",349
