songs,artists,lyrics,length
Bette Davis Eyes,Kim Carnes,hair harlow gold lip sweet surprise hand never cold got bette davis eye she'll turn music think twice pure new york snow got bette davis eye she'll tease she'll unease better please precocious know take make pro blush got greta garbo stand sigh got bette davis eye she'll let take home whets appetite she'll lay throne got bette davis eye she'll take tumble roll like dice come blue got bette davis eye she'll expose snow foot crumb throw ferocious know take make pro blush boy think spy got bette davis eye she'll tease she'll unease better please precocious know take make pro blush boy think spy got bette davis eye she'll tease she'll unease please ya got bette davis eye she'll expose snow know ya got bette davis eye,1202
Endless Love,Diana Ross,"love, there's life thing that’s right first love, every breath take every step make i, want share love one else eye eyes, eye tell much care ooh yes, always endless love two hearts, two heart beat one life begun forever (oh) i’ll hold close arm can't resist charm love, oh, love i'll fool i'm sure know mind oh, know mind 'cause you, mean world oh, know, know i've found endless love ooh-woow boom, boom love, oh, love i’ll fool i’m sure know mind oh, know don’t mind and, yes, one 'cause one deny love inside i'll give love love, love endless love",904
Lady,Kenny Rogers,"lady i'm knight shining armor love made love there's many way want say love let hold arm forever gone made fool i'm lost love oh belong together believe song lady many year thought i'd never find come life made whole forever let wake see every morning let hear whisper softly ear eye see one else there's love like love yes oh yes, i'll always want near i've waited long lady love's love need beside want 'cause love there's something want know love life lady",824
(Just Like) Starting Over,John Lennon,"life together precious together grown - grown although love still special let's take chance fly away somewhere alone long since took time no-one's blame, know time fly quickly see darling like falling love it'll like starting (over) starting (over) everyday used make love can't making love nice easy? time spread wing fly let another day go by, love it'll like starting (over) starting (over) take alone? take trip somewhere far, far away we'll together, alone like used early day well, well, darling long since took time no-one's blame, know time fly quickly see darling like falling love it'll like starting (over) starting (over) look out! life together precious together grown - grown although love still special let's take chance fly away somewhere... (over over) starting (over over)",1243
Jessie's Girl,Rick Springfield,"jessie friend yeah, know, he's good friend mine lately something's changed ain't hard define jessie's got girl, wanna make mine watching eye lovin' body know he's holding arm late, late night know wish jessie's girl wish jessie's girl find woman like that? i'll play along charade seem reason change know feel dirty start talking cute wanna tell love her, point probably moot 'cause watching eye lovin' body know he's holding arm late, late night know wish jessie's girl wish jessie's girl find woman like that? like jessie's girl wish jessie's girl find woman... find woman like that? i'm lookin' mirror time wonderin' see i've funny; i've cool line ain't way love's supposed be? tell find woman like that? know wish jessie's girl wish jessie's girl want jessie's girl find woman like that? like jessie's girl wish jessie's girl want, want jessie's girl",1424
Kiss on My List,Hall & Oates,"friend wonder call time, say? feel need give secret away think maybe need help, though know i'm right, alright i'm better listening friends' advice insist knowing bliss tell wanna know reason smile lie, tell kiss, kiss list kiss, kiss list kiss list best thing life kiss, kiss list kiss, kiss can't resist kiss miss turn light go crazy wonderin' really see night take time 'cause mean sometimes forget i'm doing, forget want, want regret i've done, regret you? go insist knowing bliss i'll tell want know reason smile lie, i'll tell kiss, kiss list kiss, kiss list kiss list best thing life kiss, kiss list kiss, kiss can't resist kiss miss turn light really miss you, babe kiss, kiss list kiss, kiss list kiss list best thing life oh babe, kiss, kiss list kiss, kiss can't resist kiss miss turn light kiss, kiss list kiss, kiss can't resist kiss list best thing life ohh, kiss, kiss list kiss, kiss can't resist",1901
I Love a Rainy Night,Eddie Rabbitt,"well, love rainy night love rainy night love hear thunder watch lightning light sky know make feel good well, love rainy night beautiful sight love feel rain face taste rain lip moonlight shadow shower washed care away wake sunny day 'cause love rainy night yeah, love rainy night well, love rainy night well, love rainy night ooh-ooh love rainy night love rainy night love hear thunder watch lightning light sky know make feel good well, love rainy night beautiful sight love feel rain face taste rain lip moonlight shadow put song heart mine put smile face every time 'cause love rainy night yeah, love rainy night ooh, love rainy night yeah, love rainy night ooh-ooh shower washed care away wake sunny day 'cause love rainy night yeah, love rainy night well, love rainy night love rainy night well, love rainy night see eye yeah, love rainy night well, make high ooh, love rainy night know do, yeah, yeah love rainy night love rainy night see eyes..",1328
9 To 5,Dolly Parton,"tumble bed stumble kitchen pour cup ambition yawn stretch try come life jump shower blood start pumpin' street, traffic start jumpin' folk like job 9 5 workin' 9 5, way make livin' barely gettin' by, takin' givin' use mind never give credit enough drive crazy let 9 5, service devotion would think would deserve fair promotion want move ahead bos seem let swear sometimes man get mmmmm... let dream watch 'em shatter step bos man's ladder got dream he'll never take away boat lot friend waitin' day ship'll come tide's gonna turn an' gonna roll way working 9 5, way make livin' barely gettin' by, takin' givin' use mind never get credit enough drive crazy let 9 5, yeah, got want there's better life think rich man's game matter call spend life puttin' money wallet 9 5, way make livin' barely gettin' by, takin' givin' use mind never give credit enough drive crazy let 9 5, yeah, got want there's better life think rich man's game matter call spend life puttin' money wallet",1709
Keep on Loving You,REO Speedwagon,"seen look eyes, baby something missing known tone voice, maybe listen played dead never bled instead lay still grass coiled hissing though know men still remember 'cause us, baby, way we're still together meant, every word said said love meant love forever i'm gonna keep loving 'cause thing wanna wanna sleep wanna keep loving meant, every word said said love meant love forever i'm gonna keep loving 'cause thing wanna wanna sleep wanna keep loving baby, i'm gonna keep loving 'cause thing wanna wanna sleep wanna keep loving",929
Morning Train (Nine to Five),Sheena Easton,"wake every mornin', stumble bed stretchin' yawnin', another day ahead seems last forever time go slowly till babe me's together, start fly 'cause moment he's me, time take flight moment he's me, everything's alright night time right time, make love time, take baby take morning train work nine five take another home find waitin' baby take morning train work nine five take another home find waitin' take movie restaurant go slow dancing, anything want he's me, catch light give me, make feel alright baby take morning train work nine five take another home find waitin' day think him, dreamin' constantly i'm crazy mad he's crazy mad (crazy mad me) step train, amazingly full fight work day earn pay, play night baby take morning train work nine five take another home find waitin' (my baby take morning train) he's always morning train (he work nine five then) work hard (he take another home again) find waiting (my baby take morning train) (he work nine five then) (he take another home again) (to find waitin' him)",1571
Being with You,Smokey Robinson,"care think care say care think, leaving i'm gonna beg stay care start avoid care care anything else you, honey go, leave scene picture screen let say ""we told so"" tell love let go i've heard warning voice friend relation tell heart-break reputation care think care say.. care think, leaving i'm gonna beg stay care start avoid care care anything else you, people change, always noticed change you? be, like love blind? want much 'til mind? one thing know sure really really real never felt way make feel care think care say care think, leaving i'm gonna beg stay care start avoid care care anything else you, care anything else you, wanna care start avoid",1528
Queen of Hearts,Juice Newton,"midnight, i'm a-waiting twelve-oh-five hoping it'll take little farther line moonlight, heartache disguise keep heart breaking, short time? playing queen hearts, knowing ain't really smart joker ain't fool who'll anything laying another lie, thinking 'bout life crime 'cause that's i'll keep away honey, know make mad everybody telling everybody done? baby, know make sad they're handing heartaches, know got playing queen hearts, knowing ain't really smart joker ain't fool who'll anything laying another lie, thinking 'bout life crime 'cause that's i'll keep away lovers, know hide heart beneath cover tell 'em they're one others, know i'm goin' a-hard lover say fun playing queen hearts, knowing ain't really smart joker ain't fool who'll anything playing queen hearts, knowing ain't really smart joker ain't fool who'll anything i'm laying another lie, i'm thinking 'bout life crime 'cause that's i'll keep away playing queen heart playing queen heart playing queen heart playing queen heart",1630
Rapture,Blondie,"toe toe, dancing close barely breathing, almost comatose wall wall, people hypnotized they're stepping lightly hang night rapture back back, sacroiliac spineless movement wild attack face face, sightless solitude finger popping 24-hour shopping rapture fab five freddy told everybody's fly dj spinnin' said, ""my my"" flash fast, flash cool france soir c'est pa flash et nous deux françois c'est pas, flash ain't dude stop, sure shot go parking lot get car drive real far drive night see light come right land ground come man mar try run he's got gun shoot dead eats head man mar go night eatin' car eat cadillacs, lincoln mercury subaru stop, keep eatin' car then, there's car go night eat bar people meet face face, dance cheek cheek one one, man man dance toe toe, move slow 'cause man mar car he's eatin' bars, yeah wall wall door door, hall hall he's gonna eat 'em rap-ture, pure take tour sewer strain brain, paint train singin' rain said stop punk rock man man, body muscular seismic decibel, bite jugular wall wall, tea time technology digital ladder sign bad luck rapture well see wanna party tv 'cause man mar eat bar tv's he's gone back space hassle human race hip-hop, stop blast off, sure shot 'cause man mar stopped eatin' car eatin' bar eats guitars, get",1931
A Woman Needs Love (Just Like You Do),Raydio,"doo-doo-doo-doo-doo mmm-mmm-mmm woman need love like do, hoo kid thinkin' fool around like do, hoo unless give lovin' want mistake thinkin' old fashioned time changed yesterday longer old double standard accepted woman today think foolin' might foolin' remember woman need love like do, hoo hey, kid thinking fool around like do, hoo unless give lovin' want eye beggin' affection put off, make wait try give worn excuse tired workin' late tell one day come home early work open door get feeling hurt need it, yeah (just like do) woman's got it, whoa, yeah, like smart, mmm, (just like do) better stop foolin' around, hey, hey cause too, oh like do, hoo thinking don't, hoo, ooh like you, hoo example time poor jack returned hill somebody else lovin' jill woman need love like do, hoo hey, kid thinkin' fool around (yeah), fool around better take insurance sure give love, mmm (just like do), yeah sweet, sweet love, want like 'cause fool around (just like do) like fool around (hoo) without you, like woman need love like do, hoo hey, kid thinking don't, hoo, ooh fool around like you, hoo woman need like",1909
The Tide Is High,Blondie,"tide high i'm holdin' i'm gonna number one i'm kind-a girl give like that, oh thing tease hurt bad way thing i'm kind-a girl give like that, oh tide high i'm holdin' i'm gonna number one, number one every girl want man i'll wait dear till turn i'm kind-a girl give like that, oh tide high i'm holdin' i'm gonna number one, number one, number one every girl want man i'll wait dear till turn i'm kind-a girl give like that, oh tide high i'm holding i'm gonna number one, number one, number one tide high i'm holding i'm gonna number one tide high i'm holding i'm gonna number one tide high i'm holding i'm gonna number one",1010
Slow Hand,The Pointer Sisters,"midnight moon driftin' lazy sway tree saw look eyes, looking mine seeing wanted see darlin', say word, 'cause already heard body's sayin' mine i'm tired fast moves, i've got slow groove mind want man slow hand want lover easy touch want somebody spend time come go heated rush want somebody understand come love, want slow hand ooh, ooh, ooh shadowed ground, one around blanket star eye driftin' free, like two lost leaf crazy wind night darlin', say word, 'cause already heard body's sayin' mine want night, say alright ooh, got time 'cause got man slow hand got lover easy touch i've got somebody spend time come go heated rush found somebody understand come love, want slow hand ooh, ooh, ooh want night please say alright fast move slow groove mind 'cause got man slow hand i've got lover easy touch found somebody spend time come go heated rush found somebody understand found lover slow hand ooh, lover slow hand get excited easy touch found somebody spend night come go heated rush ooh, lover slow hand",1545
I Love You,Climax Blues Band,"younger, man care fooling around hitting town growing hair came along stole heart entered life ooh, babe got take made wife since never looked back almost like living dream and, ooh love came along far away found playing around feeling hitting beer picked floor gave smile said much young life ain't begun let's walk awhile head spinning 'round gazed eye thought, ooh want thank you, babe friend shining light life 'cause, ooh need head coming round gazed eye thought, ooh want thanks friend straightening life 'cause, ooh need since never looked back almost like livin' dream ooh got ever man would and, ooh love",1000
Woman,John Lennon,"(for half sky) woman hardly express mixed emotion thoughtlessness all, i'm forever debt woman try express inner feeling thankfulness showing meaning success ooh, well, well doo, doo, doo, doo, doo ooh, well, well doo, doo, doo, doo, doo woman, know understand little child inside man please remember life hand woman hold close heart however distant, keep u apart all, written star ooh, well, well doo, doo, doo, doo, doo ooh, well, well doo, doo, doo, doo, doo woman please let explain never meant cause sorrow pain let tell love you, yeah, yeah forever love you, yeah, yeah forever love you, yeah, yeah forever love you, yeah, yeah",875
Sukiyaki,A Taste of Honey,"i'm feelin' sad blue went away, life rainy day love so, much never know gone away left lonely untouchable memory seem keep haunting love true, turned gray sky blue disappeared, eye filled tear i'm wishin' soft love thought gone, oh, know here, wash away tear sun would shine, mine, mine reality, never 'cause took love away me, oh here, wash away tear sun would shine, mine, mine reality, never 'cause took love away oh, baby, took love away sayonara",886
The Winner Takes It All,ABBA,"wanna talk thing we've gone though hurting me, history i've played card that's done, nothing say, ace play winner take loser's standing small beside victory that's destiny arm thinking belonged figured made sense, building fence building home thinking i'd strong fool playing rule god may throw dice mind cold ice someone way loses someone dear winner take (takes all) loser fall (has fall) simple plain (it seems plain) complain? (why complain) tell me, kiss like used kiss you? feel call name? somewhere deep inside must know miss say? rule must obeyed judge decide (they decide) like abide (we abide) spectator show (of show) always staying low (staying low) game (on again) lover friend (or friend) big thing small (big small) winner take (takes all) wanna talk make feel sad understand, come shake hand apologise make feel bad seeing tense, self-confidence see, winner take winner take (so winner) (takes all) (and loser) (has fall) (throw dice) (cold ice) (way here) (someone dear) (takes all) (has fall) (it seems plain) (why complain)",1601
