songs,artists,lyrics,length
How You Remind Me,Nickelback,"never made wise man cut poor man stealing tired livin' like blind man i'm sick sight without sense feeling remind remind really remind really like say sorry waitin' different story time i'm mistaken handing heart worth breakin' i've wrong, i've bottom every bottle five word head scream, ""are havin' fun yet?"" yet, yet, yet, no, yet, yet, yet, no, like know said, ""i love you,"" swear still must bad 'cause livin' must damn near killed might also like remind really remind really like say sorry waitin' different story time i'm mistaken handing heart worth breakin' i've wrong, i've bottom every bottle five word head scream, ""are havin' fun yet?"" yet, yet, yet, no, yet, yet, yet, no, yet, yet, yet, no, yet, yet, yet, no, never made wise man cut poor man stealin' remind remind remind really remind really like say sorry waitin' different story time i'm mistaken handing heart worth breakin' i've wrong, i've bottom every bottle five word head scream, ""are havin' fun yet?"" yet, yet, havin' fun yet? yet, yet, havin' fun yet? yeah, yeah (these five word head scream) havin' fun yet? yeah, yeah (these five word head) no, no43embed",1878
Foolish,Ashanti,"murder inc ashanti see, day cold without i'm hurting i'm though heart can't take keep running back see, day cold without i'm hurting i'm though heart can't take keep running back baby, know treating bad (treat bad) said love me, one (all had) though heart beating you, can't stop cry know allow treat way still stay see, day cold without (without you) i'm hurting i'm (oh, whoa) though heart can't take keep running back (keep running back you) see, day cold without (without you) i'm hurting i'm though heart can't take keep running back see ashanti liveget ticket low $70you might also like baby, know wanna wrong (do wrong) see, i'm home, i'm alone always gone (always gone) boy, know really love you, can't deny can't see could bring many tear year see, day cold without (my days, yeah) i'm hurting i'm though heart can't take (no more, more) keep running back see, day cold without (without you) i'm hurting i'm (without you) though heart can't take keep running back (i keep running back you) ooh, trusted you, trusted sad, sad love make thing accept thing regret lady (ladies) feel me, come on, sing see, get strength leave always tell need i'm weak 'cause believe i'm mad love stop think maybe learn appreciate remains ain't never gonna change (never gonna change, never gonna change) see, day cold without (my day cold, baby) i'm hurting i'm though heart can't take (no more, more) keep running back see, day cold without (without you) i'm hurting i'm though heart can't take (no more, more) keep running back baby, hurt me, leave desert me? boy, gave heart tear looking window, knowing go even pack bags, something always hold back26embed",2679
Hot in Herre,Nelly,"hot in, hot hot in... (ah) oh! want little bit (uh, uh), little bit (uh, uh) little bit of, little bit little bit of, little bit like, good gracious, as bodacious (uh) flirtatious, tryna show patience (ah) i'm waitin' right time shoot steez (you know) waitin' right time flash key then, uh, i'm leavin', please believe (oh) rest heathen check it, got locked top four season penthouse, rooftop, bird i'm feedin' deceivin', nothin' sleeve teasin', need get up, dance floor give man askin' (oh) 'cause feel like bustin' loose feel like touchin' you, uh, uh can't nobody stop juice baby, tell me, what's use? said see nelly liveget ticket low $66you might also like gettin' hot (so hot) take clothes (ayy) gettin' hot (uh, uh, uh, uh) wanna take clothes (oh) gettin' hot (so hot) take clothes (ayy) gettin' hot (uh, uh, uh, uh) wanna take clothes (let hang out) bar ain't poppin' bottles? (c'mon) good fame ain't fuckin' models? see drivin' sport cars, ain't hittin' throttle i'll hundred, top goggles got freeway, exit 106, parked ash tray, flip gate, time spark went gucci collar dollar, got walked spit game 'cause, baby, can't talk warm (uh), sweatin' (uh), hot joint vokal tank top point wit' winner so, baby, can't lose got secret can't leave cancun take like home alone know, dance front mirror phone checkin' reflection tellin' best friend like, ""girl, think butt gettin' big!"" (oh) gettin' hot (so hot) take clothes (ayy) gettin' hot (uh, uh, uh, uh) wanna take clothes (oh) gettin' hot (so hot) take clothes (ayy) gettin' hot (uh, uh, uh, uh) wanna take clothes (let hang out) mix little bit (ah, ah) little bit (ah, ah) let fall give little bit (ah, ah) little bit (ah, ah) let hang little bit (ah, ah) sprinkle (ah, ah) let fall like ya (ah, ah), girl, baby make (ah, ah) oh stop pacin', time wastin' got friend pole basement (what?) i'm kiddin' like jason (oh) unless gon' extra, extra (ayy), spread news (check it) nelly took trip lou' neptune came back somethin' thicker fittin' sasoons say got thing cuttin' restroom (oh) gettin' hot (so hot) take clothes (ayy) gettin' hot (uh, uh, uh, uh) wanna take clothes (oh) gettin' hot (so hot) take clothes (ayy) gettin' hot (uh, uh, uh, uh) wanna take clothes (let hang out) gettin' hot (so hot, now) take clothes (ayy) gettin' hot (check it, uh, uh, uh, uh) wanna take clothes (oh) gettin' hot (so hot) take clothes (oh) gettin' hot (bring, it, bring it) wanna take clothes (let hang out) mix little bit (ah, ah) little bit (ah, ah) let fall give little bit (ah, ah) little bit (ah, ah) let hang little bit (ah, ah) sprinkle (ah, ah) let fall like ya (ah, ah), girl, baby make (ah, ah) oh26embed",3821
Wherever You Will Go,The Calling,"lately, wondering take place? i'm gone, need love light shadow face great wave shall fall fall upon u sand stone could make own? could, would i'll go wherever go way high low i'll go wherever go maybe i'll find way make back someday watch you, guide darkest day great wave shall fall fall upon u then, hope there's someone bring back might also like could, would i'll go wherever go way high low i'll go wherever go run away heart run away hope run away love know now, quite life love might still go heart, mind i'll stay time could, would i'll go wherever go way high low i'll go wherever go could turn back time i'll go wherever go could make mine i'll go wherever go i'll go wherever go31embed",1156
In the End,Linkin Park,"start one one thing, know even matter hard try keep mind, designed rhyme explain due time, know time valuable thing watch fly pendulum swing watch count end day clock tick life away, unreal look watch time go right window tryin' hold on, d-didn't even know wasted watch go kept everything inside even though tried, fell apart meant eventually memory time tried hard tried hard got far end, even matter fall lose end, even matter might also like one thing, know even matter hard try keep mind, designed rhyme remind tried hard spite way mockin' actin' like part property remembering time fought i'm surprised got far thing way even recognize anymore knew back come back end kept everything inside even though tried, fell apart meant eventually memory time tried hard tried hard got far end, even matter fall lose end, even matter i've put trust you, pushed far go this, there's one thing know i've put trust you, pushed far go this, there's one thing know tried hard got far end, even matter fall lose end, even matter286embed",1848
What's Luv?,Fat Joe,"put fuckin mic on! mic on? joe crack don, uh! uh.. irv gotti! what's love? ashanti, terror.. terror squad us, trust what's love? (got do, got it, babe) what's love? us, trust, babe what's love? (got do, got it, babe) what's love? us, trust, babe what's love? yeah, uh, uh, uh woo! yeah, slow down, baby let know gate go lady wanna chick thick hip lick lip office type like strip girl, get aroused look eye talk much, man, ruinin' high wanna lose feelin' cause, roof chillin fire lookin good gettin' i'ma, rider, whether hoodie linen provider; see jewelry woman i'm, livin' up, squad stay fillin truck chick that's willin' triz us, uh say gotta man love what's love gotta little menage? par-tay, could slide could come that's love! might also like what's love? (got do, got it, babe) what's love? us, trust, babe what's love? (got do, got it, babe) what's love? us, trust, babe what's love? yeah, uh - yeah.. yo, uh, yo mami know got issues; gotta man need understand got somethin' as fat, frame little tattoo chest name middle, uh i'm hater, crush lot way shake booty, want stop need come little closer... (come little closer) let put you, arm like supposed ta please believe, leave freakin' night like e need trust god jump car little hard eight taj mahal what's love? what's love? (got do, got it, babe) what's love? us, trust, babe what's love? (got do, got it, babe) what's love? us, trust, babe what's love? yeah, uh, yo yo stroll club hat michael jack style, hot steppin', mack now? fault cause love kid might chain whip, know party bullshit; c'mon mami put body motion, got nigga open came heart cheat need sing song lady come look eyes, there's stoppin' want joey crack top (uh-huh) want stack break back (yeah) gonna cut slack, cause i'm like (uh, woo, uh) come (yeah yeah, y'all) put (yeah yeah, y'all) (put ya, girl) (i'ma put ya, girl) what's love? (got do, got it, babe) what's love? us, trust, babe what's love? (got do, got it, babe) what's love? us, trust, babe what's love? (got do, got it, babe) what's love? us, trust, babe what's love? (got do, got it, babe) what's love? us, trust, babe what's love?16embed",3411
U Got It Bad,Usher,"ooh-oh no, no, no, no, no, no, no, no, no, no-ooh feel body, found somebody make change way like hanging crew said act like ready, really know everything past, wanna let go i've there, done it, humped around, ha that, found nobody want alone touched word song maybe... (you) got it, got bad phone (oh, yeah), hang call right back (oh, you) got it, got bad miss day without friend, whole life's off-track know got bad stuck house wanna fun, think got bad someone keep thinking 'bout somebody else got bad see usher liveget ticket low $57you might also like say love 'em really know everything used matter matter like money, car (you and) flowers, card candy (i 'cause i'm) said i'm fortunate you, girl want know, really adore people know what's going look mate, help sing song tell her, ""i'm man, girl i'm gonna tell whole wide world"" ladies, say, ""i'm girl, man promise love best can"" see, i've there, done it, humped around that, found everyone y'all like bad can't see got bad got it, got bad (hey, hey, no, no) phone, hang call right back got it, ha, got bad miss day without friend, whole life's track (yeah) know got bad stuck house (oh, stuck) wanna fun, think (look yourself) got bad someone keep thinking 'bout somebody else (somebody) got bad got it, got bad phone, hang call right back got it, got bad miss day without friend, whole life's track know got bad stuck house wanna fun, think got bad someone keep thinking 'bout somebody else32embed",2445
Blurry,Puddle of Mudd,"everything's blurry everyone's fake everybody's empty everything messed preoccupied, without you, cannot live whole world surround you, stumble crawl could someone, could scene know i'll protect obscene wonder doing, imagine there's ocean us, that's far take away? take away? well, shoved face pain gave take away? take away? well, shoved face everyone changing, there's one left that's real make ending let know feel 'cause lost without you, cannot live whole world surround you, stumble crawl might also like could someone, could scene know save unclean wonder doing, wonder there's ocean us, that's far take away? take away? well, shoved face pain gave take away? take away? well, shoved face pain gave no-nobody told thought nobody told say everyone showed turn told run away nobody told hide nobody told say everyone showed turn showed run away take away? take away? well, shoved face pain gave take away? take away? well, shoved face pain gave no, pain gave pain gave take all, take away? pain gave take away? pain gave take away? pain gave me25embed",1961
Complicated,Avril Lavigne,"uh-huh, life's like uh-huh, uh-huh that's way 'cause life's like uh-huh, uh-huh that's way chill out, whatcha yellin' for? lay back, done could let be, would see like way we're drivin' car talkin' one-on-one become somebody else 'round everyone else watchin' back like can't relax tryna cool, look like fool me, tell why'd go make thing complicated? see way actin' like somebody else, get frustrated life's like this, fall, crawl, break take get turn honesty promise me, i'm never gonna find fake no, no, see avril lavigne liveget ticket low $535you might also like come unannounced dressed like somethin' else see, makin' laugh strike pose take preppy clothes know, foolin' anyone become somebody else 'round everyone else watchin' back like can't relax tryna cool, look like fool me, tell why'd go make thing complicated? see way actin' like somebody else, get frustrated life's like this, fall, crawl, break take get turn honesty promise me, i'm never gonna find fake no, no, (no) (no), no, (no) (no), no, (no) (no), (no), no, (no) chill out, whatcha yellin' for? lay back, done could let be, see somebody else 'round everyone else watchin' back like can't relax tryin' cool, look like fool me, tell why'd go make thing complicated? see way actin' like somebody else, get frustrated life's like this, fall, crawl, break take get turn honesty promise me, i'm never gonna find fake no, why'd go make thing complicated? (ay-yeah) see way actin' like somebody else, get frustrated life's like this, fall, crawl, break take get turn honesty promise me, i'm never gonna find fake no, no, no76embed",2514
Always on Time,Ja Rule,"always call (buckshots, heh, heh) always time gave baby mine always call always time gave baby baby, i'm always call i'm always time gave (uh) baby mine (yeah, yeah) i'm always call (uh huh) i'm always time (holla back) gave (beyotch, heh, heh) baby mine c'mon get piece late-night lover know, one swing dick like (shit) know, got lot thing need explain but, baby, know name, love pain so, stop complaint drop order restraint sex life's game, back paint 'cause can't wait 'cause quarter past three shorty's eyein' got bentley valeted i'm outside jersey, past palisade i'd love see as boot shade throw bed i'm yanking braid thug style, never thought i'd make smile i'm smackin' as fucking wild share something rare, cares, care see ja rule liveget ticket low $73you might also like baby, i'm always call i'm always time gave baby mine i'm always call i'm always time gave baby mine girl, get grip, c'mon, pull together sunshower, worse weather like, stormy night wrote dear ja letter took benz keyed cut leather bitch, know better, live m-o-b money bitches, murder, i.n.c got two three hoe every v keep 'em drugged ecstasy i'm playground legend like kirkland pee-wee name nigga league got game play hard, there's many woman fathered meet 'em scar send 'em home hot bothered truth dare, life ain't apparently fair love glare crystal stare share something rare, cares, care baby, i'm always call i'm always time gave baby mine i'm always call i'm always time (yeah) gave (yo) baby mine oh i, feelin' like livin' a, double life 'cause coming home, sometimes baby, always, time, checking one time i, got special bond together go back like bombers, boo, coldest weather play, play way freak baby, fuck crazy, i'm gone baby really want get leave easy she'll wakin' wet sheezy remind bitch mind business believe me, pimp game religious i'm built like bishop gon' keep money-green benz hoe witness life share thug affair cares, care baby, i'm always call i'm always time gave baby mine i'm always call i'm always time gave baby mine always call always time gave baby mine always call always time gave baby mine w-i-z, play nothing hit nothing hit nothing motherfucking hits25embed",3411
